Key,Type,Severity,File,Line,Message,Effort,Debt,Rule,Tags
f765d47c-267c-4761-b26e-c6f1ebfaabc5,CODE_SMELL,INFO,Riter:src/Riter/MainWindow.xaml.cs,65,Specify marshaling for P/Invoke string arguments,0min,0min,external_roslyn:CA2101,
2152f24c-693c-4eee-b533-243361a3fc5c,CODE_SMELL,INFO,Riter:src/Riter/MainWindow.xaml.cs,66,Mark the method 'GetModuleHandle' with 'LibraryImportAttribute' instead of 'DllImportAttribute' to generate P/Invoke marshalling code at compile time,0min,0min,external_roslyn:SYSLIB1054,
4009c7dd-ef0d-4f89-a6be-955f16250deb,CODE_SMELL,MAJOR,Riter:src/Riter/MainWindow.xaml.cs,31,Remove this assignment of '_orchestratorViewModel' or initialize it statically.,20min,20min,csharpsquid:S3010,
c7504b19-947d-45bf-ac93-4a1d3b2043cb,CODE_SMELL,CRITICAL,Riter:src/Riter/MainWindow.xaml.cs,75,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
1c35433c-2542-44b0-885d-f8cff6e69ef6,CODE_SMELL,MINOR,Riter:src/Riter/Core/Drawing/ColorPalette.cs,7,Use an immutable collection or reduce the accessibility of the public static field 'Colors'.,15min,15min,csharpsquid:S2386,cwe;unpredictable
6ed34941-a423-46d4-9249-06a0adb77891,CODE_SMELL,MINOR,Riter:src/Riter/ViewModel/StateHandlers/ButtonSelectedStateHandler.cs,10,Initialize all 'static fields' inline and remove the 'static constructor'.,5min,5min,csharpsquid:S3963,
c82298fa-af9d-4206-bf51-51b2189abbd2,CODE_SMELL,CRITICAL,Riter:src/Riter/ViewModel/StateHandlers/ButtonSelectedStateHandler.cs,36,"Remove this set, which updates a 'static' field from an instance method.",20min,20min,csharpsquid:S2696,multi-threading
fe326668-e2d4-4214-95cd-e463f05cda7c,CODE_SMELL,CRITICAL,Riter:src/Riter/ViewModel/StateHandlers/ButtonSelectedStateHandler.cs,43,"Remove this set, which updates a 'static' field from an instance method.",20min,20min,csharpsquid:S2696,multi-threading
80d0a81f-fe7f-439d-b94c-97e2755784b4,CODE_SMELL,MINOR,Riter:src/Riter/Services/StrokeHistoryService.cs,24,Make this an auto-implemented property and remove its backing field.,5min,5min,csharpsquid:S2292,clumsy
cb1e7ca0-1d38-4b78-b9fd-a5cb10c5697a,CODE_SMELL,MAJOR,Riter:src/Riter/Core/Consts/ButtonNames.cs,4,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,10min,csharpsquid:S1118,design
