project,key,type,severity,rule,rule_name,file,line,message,effort,tags
Lynx,44d3e5a9-a379-4cd1-ba03-60ef0524190e,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/ParseFEN_Benchmark.cs,418,"Define a constant instead of using this literal 'Invalid board: en passant square {0}, but no {1} pawn located in {2}' 6 times.",4min,design
Lynx,3438b7ca-2910-46b1-9d8c-ea77bbdd8429,CODE_SMELL,MINOR,csharpsquid:S6664,csharpsquid:S6664,Lynx:src/Lynx.Benchmark/ParseFEN_Benchmark.cs,1091,Reduce the number of Error logging calls within this code block from 2 to the 1 allowed.,5min,logging
Lynx,c8788c28-25c2-4f4a-8b07-8b9a2339358c,CODE_SMELL,MINOR,csharpsquid:S6664,csharpsquid:S6664,Lynx:src/Lynx.Benchmark/ParseFEN_Benchmark.cs,1328,Reduce the number of Error logging calls within this code block from 2 to the 1 allowed.,5min,logging
Lynx,e9201bbc-27a6-4638-a457-653810bd0af7,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/SkipLocalsInit_Benchmark.cs,646,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,brain-overload
Lynx,92cb2b60-1a9c-4363-8ec1-a24f84cb382c,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/SkipLocalsInit_Benchmark.cs,1397,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,brain-overload
Lynx,890bbf63-ba84-45fe-8437-b544a785fb77,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/SkipLocalsInit_Benchmark.cs,2121,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,brain-overload
Lynx,69381c3f-69df-486f-9ca2-d08ab3577ee0,CODE_SMELL,MINOR,csharpsquid:S6664,csharpsquid:S6664,Lynx:src/Lynx.Benchmark/ParseFEN_Benchmark.cs,285,Reduce the number of Error logging calls within this code block from 2 to the 1 allowed.,5min,logging
Lynx,ef344994-e0c5-455e-9c19-59cc201efb16,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/ParseFEN_Benchmark.cs,326,Define a constant instead of using this literal 'Unrecognized character in FEN: {0} (within {1})' 4 times.,4min,design
Lynx,c4f42337-204d-4910-a174-2b27730201a4,CODE_SMELL,MINOR,csharpsquid:S6664,csharpsquid:S6664,Lynx:src/Lynx.Benchmark/ParseFEN_Benchmark.cs,489,Reduce the number of Error logging calls within this code block from 2 to the 1 allowed.,5min,logging
Lynx,4f8b9425-0499-43e8-a062-ca54620b579b,CODE_SMELL,MINOR,csharpsquid:S6664,csharpsquid:S6664,Lynx:src/Lynx.Benchmark/ParseFEN_Benchmark.cs,691,Reduce the number of Error logging calls within this code block from 2 to the 1 allowed.,5min,logging
Lynx,8c19b6f0-4859-4c06-8af8-6f7db0c8da02,CODE_SMELL,MINOR,csharpsquid:S6664,csharpsquid:S6664,Lynx:src/Lynx.Benchmark/ParseFEN_Benchmark.cs,888,Reduce the number of Error logging calls within this code block from 2 to the 1 allowed.,5min,logging
Lynx,3d93a494-213f-4bc0-a517-766adde9eff8,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/ParseGame_Benchmark.cs,187,Define a constant instead of using this literal 'startpos' 6 times.,4min,design
Lynx,4aabbef7-5667-484e-9da9-1a9b2bce08c8,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/ParseGame_Benchmark.cs,188,Define a constant instead of using this literal 'moves' 8 times.,4min,design
Lynx,c5e83693-ca05-443f-be7e-cf538e267dc9,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/ParseGame_Benchmark.cs,214,Define a constant instead of using this literal 'Error parsing position command '{0}': no initial position found' 4 times.,4min,design
Lynx,924da5cc-12a4-4319-be53-2f0ec62df3e9,CODE_SMELL,MINOR,csharpsquid:S1192,csharpsquid:S1192,Lynx:src/Lynx.Benchmark/ParseGame_Benchmark.cs,223,Define a constant instead of using this literal 'Error parsing position command '{0}'' 6 times.,4min,design
Lynx,c276de09-97cc-421a-a882-09d7774ad90b,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/FENGeneration_Benchmark.cs,1971,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,6min,brain-overload
Lynx,8435001d-208c-401c-bb34-c1dfd33bd19c,CODE_SMELL,CRITICAL,csharpsquid:S3776,csharpsquid:S3776,Lynx:src/Lynx.Benchmark/MakeUnmakeMove_implementation_Benchmark.cs,1570,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,6min,brain-overload
