project,key,type,severity,rule,rule_name,file,line,message,effort,tags
Foster,dc212722-9fb5-4f36-b4f9-c7988a32f988,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1080,P/Invoke method 'SDL_ClearAudioStream' should not be visible,0min,
Foster,580887c4-c5e0-46ba-bf9b-c60e07ae3620,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1084,Make this native method private and provide a wrapper.,30min,pitfall
Foster,5b59e9d1-e038-4d7c-82a3-2dff02b58245,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1084,P/Invoke method 'SDL_PauseAudioStreamDevice' should not be visible,0min,
Foster,5e0cfc8b-4ae4-44cc-9fca-af960b643f33,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1088,P/Invoke method 'SDL_ResumeAudioStreamDevice' should not be visible,0min,
Foster,652e3d69-755c-41ef-bf72-f973f2bca723,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1088,Make this native method private and provide a wrapper.,30min,pitfall
Foster,6513a610-13e8-4893-8d01-b78dd9f5d6aa,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1096,Make this native method private and provide a wrapper.,30min,pitfall
Foster,8ca268fb-69f6-468c-8715-99ce9a4dd9de,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1096,P/Invoke method 'SDL_LockAudioStream' should not be visible,0min,
Foster,455407cc-e744-4909-a429-15f7e7eb9c9e,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1100,P/Invoke method 'SDL_UnlockAudioStream' should not be visible,0min,
Foster,802c176f-aafc-40bd-8b81-c5afdc94e98e,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1100,Make this native method private and provide a wrapper.,30min,pitfall
Foster,6a10c1d4-0218-453d-8480-55d59f54e480,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1107,Make this native method private and provide a wrapper.,30min,pitfall
Foster,f1d01620-e3e9-439b-b9ba-22c68394bf81,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1111,Make this native method private and provide a wrapper.,30min,pitfall
Foster,502827a2-92ff-4054-bb8f-aa0745a68889,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1115,P/Invoke method 'SDL_DestroyAudioStream' should not be visible,0min,
Foster,9c878e08-87bc-4bff-8455-c61e012ee04f,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1115,Make this native method private and provide a wrapper.,30min,pitfall
Foster,15f12a50-631a-43a4-972e-634e76a411e1,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1119,Make this native method private and provide a wrapper.,30min,pitfall
Foster,0387ee79-e6c5-4e5f-831e-68091452280f,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1126,Make this native method private and provide a wrapper.,30min,pitfall
Foster,6ab10ada-a3dc-47df-b852-e73262ca0d12,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1130,Make this native method private and provide a wrapper.,30min,pitfall
Foster,6a1b842f-94ec-4d02-905c-a14c598aeee8,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1134,Make this native method private and provide a wrapper.,30min,pitfall
Foster,85c75731-6030-4d9e-98ee-7a4549d656fa,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1138,Make this native method private and provide a wrapper.,30min,pitfall
Foster,bd212bf8-d964-41ca-a773-79f067a4e6cb,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,1138,P/Invoke method 'SDL_MixAudio' should not be visible,0min,
Foster,5969e9c5-c0ae-44aa-a5e9-97757f42624d,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,1142,Make this native method private and provide a wrapper.,30min,pitfall
